ligue,journee,date,heure,equipe1,equipe2,score_equipe1_mt,score_equipe2_mt,score_equipe1_final,score_equipe2_final,total_buts
de.1,Matchday 1,2024-08-23,20:30,Borussia Mönchengladbach,Bayer 04 Leverkusen,0.0,2.0,2,3,5
de.1,Matchday 1,2024-08-24,15:30,RB Leipzig,VfL Bochum 1848,0.0,0.0,1,0,1
de.1,Matchday 1,2024-08-24,15:30,TSG 1899 Hoffenheim,Holstein Kiel,2.0,0.0,3,2,5
de.1,Matchday 1,2024-08-24,15:30,SC Freiburg,VfB Stuttgart,1.0,1.0,3,1,4
de.1,Matchday 1,2024-08-24,15:30,FC Augsburg,SV Werder Bremen,2.0,1.0,2,2,4
de.1,Matchday 1,2024-08-24,15:30,1. FSV Mainz 05,1. FC Union Berlin,0.0,0.0,1,1,2
de.1,Matchday 1,2024-08-24,18:30,Borussia Dortmund,Eintracht Frankfurt,0.0,0.0,2,0,2
de.1,Matchday 1,2024-08-25,15:30,VfL Wolfsburg,FC Bayern München,0.0,1.0,2,3,5
de.1,Matchday 1,2024-08-25,17:30,FC St. Pauli 1910,1. FC Heidenheim 1846,0.0,0.0,0,2,2
de.1,Matchday 2,2024-08-30,20:30,1. FC Union Berlin,FC St. Pauli 1910,1.0,0.0,1,0,1
de.1,Matchday 2,2024-08-31,15:30,VfB Stuttgart,1. FSV Mainz 05,2.0,1.0,3,3,6
de.1,Matchday 2,2024-08-31,15:30,Eintracht Frankfurt,TSG 1899 Hoffenheim,2.0,0.0,3,1,4
de.1,Matchday 2,2024-08-31,15:30,SV Werder Bremen,Borussia Dortmund,,,0,0,0
de.1,Matchday 2,2024-08-31,15:30,VfL Bochum 1848,Borussia Mönchengladbach,0.0,0.0,0,2,2
de.1,Matchday 2,2024-08-31,15:30,Holstein Kiel,VfL Wolfsburg,0.0,2.0,0,2,2
de.1,Matchday 2,2024-08-31,18:30,Bayer 04 Leverkusen,RB Leipzig,2.0,1.0,2,3,5
de.1,Matchday 2,2024-09-01,15:30,1. FC Heidenheim 1846,FC Augsburg,2.0,0.0,4,0,4
de.1,Matchday 2,2024-09-01,17:30,FC Bayern München,SC Freiburg,1.0,0.0,2,0,2
