ligue,journee,date,heure,equipe1,equipe2,score_equipe1_final,score_equipe2_final,total_buts
it.1,Matchday 1,2024-08-17,18:30,Genoa CFC,FC Internazionale Milano,2.0,2.0,4
it.1,Matchday 1,2024-08-17,18:30,Parma Calcio 1913,ACF Fiorentina,1.0,1.0,2
it.1,Matchday 1,2024-08-17,20:45,Empoli FC,AC Monza,0.0,0.0,0
it.1,Matchday 1,2024-08-17,20:45,AC Milan,Torino FC,2.0,2.0,4
it.1,Matchday 1,2024-08-18,18:30,Bologna FC 1909,Udinese Calcio,1.0,1.0,2
it.1,Matchday 1,2024-08-18,18:30,Hellas Verona FC,SSC Napoli,3.0,0.0,3
it.1,Matchday 1,2024-08-18,20:45,Cagliari Calcio,AS Roma,0.0,0.0,0
it.1,Matchday 1,2024-08-18,20:45,SS Lazio,Venezia FC,3.0,1.0,4
it.1,Matchday 1,2024-08-19,18:30,US Lecce,Atalanta BC,0.0,4.0,4
it.1,Matchday 1,2024-08-19,20:45,Juventus FC,Como 1907,3.0,0.0,3
it.1,Matchday 2,2024-08-24,18:30,Parma Calcio 1913,AC Milan,2.0,1.0,3
it.1,Matchday 2,2024-08-24,18:30,Udinese Calcio,SS Lazio,2.0,1.0,3
it.1,Matchday 2,2024-08-24,20:45,FC Internazionale Milano,US Lecce,2.0,0.0,2
it.1,Matchday 2,2024-08-24,20:45,AC Monza,Genoa CFC,0.0,1.0,1
it.1,Matchday 2,2024-08-25,18:30,ACF Fiorentina,Venezia FC,0.0,0.0,0
it.1,Matchday 2,2024-08-25,18:30,Torino FC,Atalanta BC,2.0,1.0,3
it.1,Matchday 2,2024-08-25,20:45,SSC Napoli,Bologna FC 1909,3.0,0.0,3
it.1,Matchday 2,2024-08-25,20:45,AS Roma,Empoli FC,1.0,2.0,3
it.1,Matchday 2,2024-08-26,18:30,Cagliari Calcio,Como 1907,1.0,1.0,2
it.1,Matchday 2,2024-08-26,20:45,Hellas Verona FC,Juventus FC,0.0,3.0,3
it.1,Matchday 3,2024-08-30,18:30,Venezia FC,Torino FC,0.0,1.0,1
it.1,Matchday 3,2024-08-30,20:45,FC Internazionale Milano,Atalanta BC,4.0,0.0,4
it.1,Matchday 3,2024-08-31,18:30,Bologna FC 1909,Empoli FC,1.0,1.0,2
it.1,Matchday 3,2024-08-31,18:30,US Lecce,Cagliari Calcio,1.0,0.0,1
it.1,Matchday 3,2024-08-31,20:45,SS Lazio,AC Milan,2.0,2.0,4
it.1,Matchday 3,2024-08-31,20:45,SSC Napoli,Parma Calcio 1913,2.0,1.0,3
it.1,Matchday 3,2024-09-01,18:30,ACF Fiorentina,AC Monza,2.0,2.0,4
it.1,Matchday 3,2024-09-01,18:30,Genoa CFC,Hellas Verona FC,0.0,2.0,2
it.1,Matchday 3,2024-09-01,20:45,Juventus FC,AS Roma,0.0,0.0,0
it.1,Matchday 3,2024-09-01,20:45,Udinese Calcio,Como 1907,1.0,0.0,1
it.1,Matchday 4,2024-09-14,15:00,Como 1907,Bologna FC 1909,2.0,2.0,4
it.1,Matchday 4,2024-09-14,18:00,Empoli FC,Juventus FC,0.0,0.0,0
it.1,Matchday 4,2024-09-14,20:45,AC Milan,Venezia FC,4.0,0.0,4
it.1,Matchday 4,2024-09-15,12:30,Genoa CFC,AS Roma,1.0,1.0,2
it.1,Matchday 4,2024-09-15,15:00,Atalanta BC,ACF Fiorentina,3.0,2.0,5
it.1,Matchday 4,2024-09-15,15:00,Torino FC,US Lecce,0.0,0.0,0
it.1,Matchday 4,2024-09-15,18:00,Cagliari Calcio,SSC Napoli,0.0,4.0,4
it.1,Matchday 4,2024-09-15,20:45,AC Monza,FC Internazionale Milano,1.0,1.0,2
it.1,Matchday 4,2024-09-16,18:30,Parma Calcio 1913,Udinese Calcio,2.0,3.0,5
it.1,Matchday 4,2024-09-16,20:45,SS Lazio,Hellas Verona FC,2.0,1.0,3
it.1,Matchday 5,2024-09-20,18:30,Cagliari Calcio,Empoli FC,0.0,2.0,2
it.1,Matchday 5,2024-09-20,20:45,Hellas Verona FC,Torino FC,2.0,3.0,5
it.1,Matchday 5,2024-09-21,15:00,Venezia FC,Genoa CFC,2.0,0.0,2
it.1,Matchday 5,2024-09-21,18:00,Juventus FC,SSC Napoli,0.0,0.0,0
