classement,nom_equipe,matchs_joues,victoires,nuls,defaites,buts_pour,buts_contre,difference_buts,points
1,Liverpool FC,38,25,9,4,86,41,45,84
2,Arsenal FC,38,20,14,4,69,34,35,74
3,Manchester City FC,38,21,8,9,72,44,28,71
4,Chelsea FC,38,20,9,9,64,43,21,69
5,Newcastle United FC,38,20,6,12,68,47,21,66
6,Aston Villa FC,38,19,9,10,58,51,7,66
7,Nottingham Forest FC,38,19,8,11,58,46,12,65
8,Brighton & Hove Albion FC,38,16,13,9,66,59,7,61
9,AFC Bournemouth,38,15,11,12,58,46,12,56
10,Brentford FC,38,16,8,14,66,57,9,56
11,Fulham FC,38,15,9,14,54,54,0,54
12,Crystal Palace FC,38,13,14,11,51,51,0,53
13,Everton FC,38,11,15,12,42,44,-2,48
14,West Ham United FC,38,11,10,17,46,62,-16,43
15,Manchester United FC,38,11,9,18,44,54,-10,42
16,Wolverhampton Wanderers FC,38,12,6,20,54,69,-15,42
17,Tottenham Hotspur FC,38,11,5,22,64,65,-1,38
18,Leicester City FC,38,6,7,25,33,80,-47,25
19,Ipswich Town FC,38,4,10,24,36,82,-46,22
20,Southampton FC,38,2,6,30,26,86,-60,12
