classement,nom_equipe,matchs_joues,victoires,nuls,defaites,buts_pour,buts_contre,difference_buts,points
1,FC Barcelona,37,27,4,6,99,39,60,85
2,Real Madrid CF,37,25,6,6,76,38,38,81
3,Club Atlético de Madrid,37,21,10,6,64,30,34,73
4,Athletic Club,37,19,13,5,54,26,28,70
5,Villarreal CF,37,19,10,8,67,49,18,67
6,Real Betis Balompié,37,16,11,10,56,49,7,59
7,RC Celta de Vigo,37,15,7,15,57,56,1,52
8,CA Osasuna,37,12,15,10,47,51,-4,51
9,Rayo Vallecano de Madrid,37,13,12,12,41,45,-4,51
10,RCD Mallorca,37,13,8,16,35,44,-9,47
11,Real Sociedad de Fútbol,37,13,7,17,35,44,-9,46
12,Valencia CF,37,11,12,14,43,53,-10,45
13,Getafe CF,37,11,9,17,33,37,-4,42
14,Deportivo Alavés,37,10,11,16,37,47,-10,41
15,Sevilla FC,37,10,11,16,40,51,-11,41
16,Girona FC,37,11,8,18,44,56,-12,41
17,RCD Espanyol de Barcelona,37,10,9,18,38,51,-13,39
18,CD Leganés,37,8,13,16,36,56,-20,37
19,UD Las Palmas,37,8,8,21,40,59,-19,32
20,Real Valladolid CF,37,4,4,29,26,87,-61,16
