classement,nom_equipe,matchs_joues,victoires,nuls,defaites,buts_pour,buts_contre,difference_buts,points
1,Paris Saint-Germain FC,34,26,6,2,92,35,57,84
2,Olympique de Marseille,34,20,5,9,74,47,27,65
3,AS Monaco FC,34,18,7,9,63,41,22,61
4,OGC Nice,34,17,9,8,66,41,25,60
5,Lille OSC,34,17,9,8,52,36,16,60
6,Olympique Lyonnais,34,17,6,11,65,46,19,57
7,RC Strasbourg Alsace,34,16,9,9,56,44,12,57
8,Racing Club de Lens,34,15,7,12,42,39,3,52
9,Stade Brestois 29,34,15,5,14,52,59,-7,50
10,Toulouse FC,34,11,9,14,44,43,1,42
11,AJ Auxerre,34,11,9,14,48,51,-3,42
12,Stade Rennais FC 1901,34,13,2,19,51,50,1,41
13,FC Nantes,34,8,12,14,39,52,-13,36
14,Angers SCO,34,10,6,18,32,53,-21,36
15,Le Havre AC,34,10,4,20,40,71,-31,34
16,Stade de Reims,34,8,9,17,33,47,-14,33
17,AS Saint-Étienne,34,8,6,20,39,77,-38,30
18,Montpellier HSC,34,4,4,26,23,79,-56,16
