ligue,journee,date,heure,equipe1,equipe2,score_equipe1_final,score_equipe2_final
fr.1,Matchday 1,2024-08-16,20:45,Le Havre AC,Paris Saint-Germain FC,1,4
fr.1,Matchday 1,2024-08-17,17:00,Stade Brestois 29,Olympique de Marseille,1,5
fr.1,Matchday 1,2024-08-17,19:00,Stade de Reims,Lille OSC,0,2
fr.1,Matchday 1,2024-08-17,21:00,AS Monaco FC,AS Saint-Étienne,1,0
fr.1,Matchday 1,2024-08-18,15:00,AJ Auxerre,OGC Nice,2,1
fr.1,Matchday 1,2024-08-18,17:00,Montpellier HSC,RC Strasbourg Alsace,1,1
fr.1,Matchday 1,2024-08-18,17:00,Toulouse FC,FC Nantes,0,0
fr.1,Matchday 1,2024-08-18,17:00,Angers SCO,Racing Club de Lens,0,1
fr.1,Matchday 1,2024-08-18,20:45,Stade Rennais FC 1901,Olympique Lyonnais,3,0
fr.1,Matchday 2,2024-08-23,20:45,Paris Saint-Germain FC,Montpellier HSC,6,0
fr.1,Matchday 2,2024-08-24,17:00,Olympique Lyonnais,AS Monaco FC,0,2
fr.1,Matchday 2,2024-08-24,19:00,Lille OSC,Angers SCO,2,0
fr.1,Matchday 2,2024-08-24,21:00,AS Saint-Étienne,Le Havre AC,0,2
fr.1,Matchday 2,2024-08-25,15:00,Racing Club de Lens,Stade Brestois 29,2,0
fr.1,Matchday 2,2024-08-25,17:00,RC Strasbourg Alsace,Stade Rennais FC 1901,3,1
fr.1,Matchday 2,2024-08-25,17:00,FC Nantes,AJ Auxerre,2,0
fr.1,Matchday 2,2024-08-25,17:00,OGC Nice,Toulouse FC,1,1
fr.1,Matchday 2,2024-08-25,20:45,Olympique de Marseille,Stade de Reims,2,2
fr.1,Matchday 3,2024-08-30,20:45,Olympique Lyonnais,RC Strasbourg Alsace,4,3
fr.1,Matchday 3,2024-08-31,17:00,Stade Brestois 29,AS Saint-Étienne,4,0
fr.1,Matchday 3,2024-08-31,19:00,Montpellier HSC,FC Nantes,1,3
fr.1,Matchday 3,2024-08-31,21:00,Toulouse FC,Olympique de Marseille,1,3
fr.1,Matchday 3,2024-09-01,15:00,AS Monaco FC,Racing Club de Lens,1,1
fr.1,Matchday 3,2024-09-01,17:00,Angers SCO,OGC Nice,1,4
fr.1,Matchday 3,2024-09-01,17:00,Le Havre AC,AJ Auxerre,3,1
